scene_id,seed,band,comb_spacing,pfa,num_training_cells,num_guard_cells,range_resolution_m,max_unambiguous_range_m,range_m,density_per_km2,num_drones,prob_detection,false_alarms_per_frame,false_alarm_fraction,rmse_position_error_m,drone_id,x,y,z,vx,vy,vz,true_range_m,true_azimuth_deg,true_radial_velocity_mps,snr_db,sensing_snr_db,ber,throughput_mbps,detected,position_error_m,range_error_m,azimuth_error_deg
r50_d400_t0,0,3.5,0,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,4996.5409666666665,50,400,1,1.0,19.0,0.9047619047619048,1.2395440193928329,mc_uas_0,-66.29782273549291,-84.32665124994195,13.861230648127329,-8.847880390546884,-4.258656813253303,0.0,11.00277038971373,-178.18316307271618,8.407427960534346,29.340291187954172,89.57474256964755,0.0001524390243902439,365.1205936920222,True,1.2395440193928329,1.1839148948391145,1.816836927283858
r50_d400_t0,0,3.5,0,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,4996.5409666666665,50,400,1,1.0,19.0,0.9047619047619048,1.2395440193928329,mc_uas_0,-66.29782273549291,-84.32665124994195,13.861230648127329,-8.847880390546884,-4.258656813253303,0.0,11.00277038971373,-178.18316307271618,8.407427960534346,29.340291187954172,89.57474256964755,0.0001524390243902439,365.1205936920222,True,1.2395440193928329,1.1839148948391145,1.816836927283858
r50_d400_t0,0,3.5,0,5e-07,"(8, 16)","(2, 4)",1.5233356605691057,4996.5409666666665,50,400,1,1.0,19.0,0.9047619047619048,1.2395440193928329,mc_uas_0,-66.29782273549291,-84.32665124994195,13.861230648127329,-8.847880390546884,-4.258656813253303,0.0,11.00277038971373,-178.18316307271618,8.407427960534346,29.340291187954172,89.57474256964755,0.0001524390243902439,365.1205936920222,True,1.2395440193928329,1.1839148948391145,1.816836927283858
r100_d400_t0,1,3.5,0,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,4996.5409666666665,100,400,5,0.0,13.0,1.0,,mc_uas_0,-146.75328080733266,-77.5551617751991,15.911339481728053,0.2193628620932205,1.2572127492620646,0.0,91.17366863029406,175.9379633016395,-0.12948219388829657,19.253458589105648,0.34227953101914016,0.00015601181402439025,365.1205936920222,False,,,
r100_d400_t0,1,3.5,0,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,4996.5409666666665,100,400,5,0.0,13.0,1.0,,mc_uas_1,-107.93605704697376,-121.37549751659385,15.5926850053958,-4.280039900119251,3.643001159311972,0.0,64.23052204185332,-144.25952976498144,1.3409421704058588,18.676175069481413,3.8974640380986623,0.0001524390243902439,365.1205936920222,False,,,
r100_d400_t0,1,3.5,0,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,4996.5409666666665,100,400,5,0.0,13.0,1.0,,mc_uas_2,-70.67455502175989,-92.00116353331057,17.176922571709127,-6.251144723187854,-4.857483343741923,0.0,18.189815847713938,-151.39898751544936,7.1797475508488375,15.692366023522947,35.89490343330626,0.00015630954649390244,365.1205936920222,False,,,
r100_d400_t0,1,3.5,0,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,4996.5409666666665,100,400,5,0.0,13.0,1.0,,mc_uas_3,-125.295161147555,-59.887672379275216,13.003564307368709,-0.9525900078060758,-8.559824911143098,0.0,73.43190791681286,160.81386495030182,-1.9118041259950456,-0.29151136514602843,-2.1298678122892905,0.31108041158536587,0.0,False,,,
r100_d400_t0,1,3.5,0,5e-09,"(8, 16)","(2, 4)",1.5233356605691057,4996.5409666666665,100,400,5,0.0,13.0,1.0,,mc_uas_4,-107.16070775580648,-86.92836465591884,15.687717599091664,-1.409179130533591,5.850928166134772,0.0,51.55912595380268,-176.72404723600053,1.065979095068966,21.19347897933368,22.00696954838264,0.0,365.1205936920222,False,,,
r100_d400_t0,1,3.5,0,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,4996.5409666666665,100,400,5,0.0,13.0,1.0,,mc_uas_0,-146.75328080733266,-77.5551617751991,15.911339481728053,0.2193628620932205,1.2572127492620646,0.0,91.17366863029406,175.9379633016395,-0.12948219388829657,19.253458589105648,0.34227953101914016,0.00015601181402439025,365.1205936920222,False,,,
r100_d400_t0,1,3.5,0,5e-08,"(8, 16)","(2, 4)",1.5233356605691057,4996.5409666666665,100,400,5,0.0,13.0,1.0,,mc_uas_1,-107.93605704697376,-121.37549751659385,15.5926850053958,-4.280039900119251,3.643001159311972,0.0,64.23052204185332,-144.25952976498144,1.3409421704058588,18.676175069481413,3.8974640380986623,0.0001524390243902439,365.1205936920222,False,,,
